"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.audio_url","Answer.audio-naturalness.label","Approve","Reject"
"38VTL6WC5F9E2O692CRY6585X1KY5B","3QH037L2CS2R9GV9C067DZV3G2VWAQ","English computer generated audio naturalness assessment","Listen and evaluate audio naturalness by choosing values from 1(negative) to 5(positive).","audio, naturalness, rating","$0.03","Thu Mar 04 23:29:14 PST 2021","20","BatchId:4355686;OriginalHitTemplateId:928390811;","600","259200","Fri Mar 19 00:29:14 PDT 2021","","","34J10VATJLUKSU7W8OYZ6C4V7JYIQI","A2VO8C41JJIQY9","Submitted","Fri Mar 05 00:00:51 PST 2021","Fri Mar 05 00:01:00 PST 2021","Mon Mar 08 00:01:00 PST 2021","","","","9","0% (0/0)","0% (0/0)","0% (0/0)","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/w_mswd/8011_111754_000025_000002.wav","5.0 - Excellent - Completely natural speech"
"38VTL6WC5F9E2O692CRY6585X1KY5B","3QH037L2CS2R9GV9C067DZV3G2VWAQ","English computer generated audio naturalness assessment","Listen and evaluate audio naturalness by choosing values from 1(negative) to 5(positive).","audio, naturalness, rating","$0.03","Thu Mar 04 23:29:14 PST 2021","20","BatchId:4355686;OriginalHitTemplateId:928390811;","600","259200","Fri Mar 19 00:29:14 PDT 2021","","","354P56DE9QZZGQ5DH1J7ANTNBR6S7K","A1H5Q9HRH4RPZU","Submitted","Thu Mar 04 23:44:55 PST 2021","Thu Mar 04 23:45:04 PST 2021","Sun Mar 07 23:45:04 PST 2021","","","","9","0% (0/0)","0% (0/0)","0% (0/0)","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/w_mswd/8011_111754_000025_000002.wav","3.0 - Fair - Equally natural and unnatural speech"
"38VTL6WC5F9E2O692CRY6585X1KY5B","3QH037L2CS2R9GV9C067DZV3G2VWAQ","English computer generated audio naturalness assessment","Listen and evaluate audio naturalness by choosing values from 1(negative) to 5(positive).","audio, naturalness, rating","$0.03","Thu Mar 04 23:29:14 PST 2021","20","BatchId:4355686;OriginalHitTemplateId:928390811;","600","259200","Fri Mar 19 00:29:14 PDT 2021","","","3634BBTX0UQN15HNU8N5UD0H0HOIFN","A35TUIBF05DKM4","Submitted","Thu Mar 04 23:48:04 PST 2021","Thu Mar 04 23:48:10 PST 2021","Sun Mar 07 23:48:10 PST 2021","","","","6","0% (0/0)","0% (0/0)","0% (0/0)","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/w_mswd/8011_111754_000025_000002.wav","3.0 - Fair - Equally natural and unnatural speech"
"38VTL6WC5F9E2O692CRY6585X1KY5B","3QH037L2CS2R9GV9C067DZV3G2VWAQ","English computer generated audio naturalness assessment","Listen and evaluate audio naturalness by choosing values from 1(negative) to 5(positive).","audio, naturalness, rating","$0.03","Thu Mar 04 23:29:14 PST 2021","20","BatchId:4355686;OriginalHitTemplateId:928390811;","600","259200","Fri Mar 19 00:29:14 PDT 2021","","","36DSNE9QZBUD2TEMBTRVT8OV5X5OJS","A2FYFCD16Z3PCC","Submitted","Fri Mar 05 00:01:08 PST 2021","Fri Mar 05 00:04:24 PST 2021","Mon Mar 08 00:04:24 PST 2021","","","","196","0% (0/0)","0% (0/0)","0% (0/0)","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/w_mswd/8011_111754_000025_000002.wav","3.0 - Fair - Equally natural and unnatural speech"
"38VTL6WC5F9E2O692CRY6585X1KY5B","3QH037L2CS2R9GV9C067DZV3G2VWAQ","English computer generated audio naturalness assessment","Listen and evaluate audio naturalness by choosing values from 1(negative) to 5(positive).","audio, naturalness, rating","$0.03","Thu Mar 04 23:29:14 PST 2021","20","BatchId:4355686;OriginalHitTemplateId:928390811;","600","259200","Fri Mar 19 00:29:14 PDT 2021","","","36H9ULYP68QJWG1TCQ856EFHDWEJF1","A2Y2AZ8DBFU47Q","Submitted","Fri Mar 05 00:04:21 PST 2021","Fri Mar 05 00:05:26 PST 2021","Mon Mar 08 00:05:26 PST 2021","","","","65","0% (0/0)","0% (0/0)","0% (0/0)","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/w_mswd/8011_111754_000025_000002.wav","5.0 - Excellent - Completely natural speech"
"38VTL6WC5F9E2O692CRY6585X1KY5B","3QH037L2CS2R9GV9C067DZV3G2VWAQ","English computer generated audio naturalness assessment","Listen and evaluate audio naturalness by choosing values from 1(negative) to 5(positive).","audio, naturalness, rating","$0.03","Thu Mar 04 23:29:14 PST 2021","20","BatchId:4355686;OriginalHitTemplateId:928390811;","600","259200","Fri Mar 19 00:29:14 PDT 2021","","","37TD41K0AN55S7098IRIQ9L1C2XSCD","A3PXU2ZLEL8WRW","Submitted","Thu Mar 04 23:45:15 PST 2021","Thu Mar 04 23:45:57 PST 2021","Sun Mar 07 23:45:57 PST 2021","","","","42","0% (0/0)","0% (0/0)","0% (0/0)","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/w_mswd/8011_111754_000025_000002.wav","4.0 - Good - Mostly natural speech"
"38VTL6WC5F9E2O692CRY6585X1KY5B","3QH037L2CS2R9GV9C067DZV3G2VWAQ","English computer generated audio naturalness assessment","Listen and evaluate audio naturalness by choosing values from 1(negative) to 5(positive).","audio, naturalness, rating","$0.03","Thu Mar 04 23:29:14 PST 2021","20","BatchId:4355686;OriginalHitTemplateId:928390811;","600","259200","Fri Mar 19 00:29:14 PDT 2021","","","39L1G8WVWWNHLN5W261X15UYGPI13F","A20I3A6VWC2T5C","Submitted","Fri Mar 05 02:33:13 PST 2021","Fri Mar 05 02:33:22 PST 2021","Mon Mar 08 02:33:22 PST 2021","","","","9","0% (0/0)","0% (0/0)","0% (0/0)","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/w_mswd/8011_111754_000025_000002.wav","4.0 - Good - Mostly natural speech"
"38VTL6WC5F9E2O692CRY6585X1KY5B","3QH037L2CS2R9GV9C067DZV3G2VWAQ","English computer generated audio naturalness assessment","Listen and evaluate audio naturalness by choosing values from 1(negative) to 5(positive).","audio, naturalness, rating","$0.03","Thu Mar 04 23:29:14 PST 2021","20","BatchId:4355686;OriginalHitTemplateId:928390811;","600","259200","Fri Mar 19 00:29:14 PDT 2021","","","3A4TN5196QEG2YMTXOFJMVEZ3RGHCH","A1E1APZSE8OFWU","Submitted","Thu Mar 04 23:42:53 PST 2021","Thu Mar 04 23:46:13 PST 2021","Sun Mar 07 23:46:13 PST 2021","","","","200","0% (0/0)","0% (0/0)","0% (0/0)","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/w_mswd/8011_111754_000025_000002.wav","5.0 - Excellent - Completely natural speech"
"38VTL6WC5F9E2O692CRY6585X1KY5B","3QH037L2CS2R9GV9C067DZV3G2VWAQ","English computer generated audio naturalness assessment","Listen and evaluate audio naturalness by choosing values from 1(negative) to 5(positive).","audio, naturalness, rating","$0.03","Thu Mar 04 23:29:14 PST 2021","20","BatchId:4355686;OriginalHitTemplateId:928390811;","600","259200","Fri Mar 19 00:29:14 PDT 2021","","","3D3VGR7TA6B5ES4D00GC7WCBKN33R4","A39VVWV1GHLMFD","Submitted","Thu Mar 04 23:56:44 PST 2021","Thu Mar 04 23:59:25 PST 2021","Sun Mar 07 23:59:25 PST 2021","","","","161","100% (8/8)","0% (0/0)","0% (0/0)","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/w_mswd/8011_111754_000025_000002.wav","4.0 - Good - Mostly natural speech"
"38VTL6WC5F9E2O692CRY6585X1KY5B","3QH037L2CS2R9GV9C067DZV3G2VWAQ","English computer generated audio naturalness assessment","Listen and evaluate audio naturalness by choosing values from 1(negative) to 5(positive).","audio, naturalness, rating","$0.03","Thu Mar 04 23:29:14 PST 2021","20","BatchId:4355686;OriginalHitTemplateId:928390811;","600","259200","Fri Mar 19 00:29:14 PDT 2021","","","3DOCMVPBTTAR3Y5VPCJA7Q57O7ENNP","A2P76QVLSGJR45","Submitted","Fri Mar 05 02:42:41 PST 2021","Fri Mar 05 02:45:40 PST 2021","Mon Mar 08 02:45:40 PST 2021","","","","179","100% (14/14)","0% (0/0)","0% (0/0)","https://kallavinka8045.github.io/is2021/wav_for_mos/ablation/w_mswd/8011_111754_000025_000002.wav","3.0 - Fair - Equally natural and unnatural speech"
